Time,Nome,Usuario,Tempo,Texto,Coletado_em,Futebol
Internacional,LOBO_,@BscTecnologia,36 s,"fala agora trouxa

Relação de Jaques Wagner com Master envolve apartamento, show internacional, voos em jatinho e privatização de supermercado",2026-06-18 18:44:44,False
Cruzeiro,vis,@tsarcheirs,36 s,"vc ta pedindo mt ficha, será q o cruzeiro vai dar conta de preenche-las kkkk",2026-06-18 18:44:44,True
Santos,Dr.Strangelove,@13strangelove13,37 s,o que de revolucionário messi fez para merecer ser o melhor? Bicho numa época SEM INTERNET UM NEGAO JOGANDO NA PORRA DO SANTOS colocou o mundo a admirar o seu esporte tornou se celebridade pela sua capacidade de ser espetacular Pelé revolucionou o futebol fez do 10 identidade,2026-06-18 18:44:45,True
Corinthians,dinamite na mão garante a participação política,@157ontologico4,40 s,"""corinthiano"" e ao mesmo tempo bolsominion nazista e racista... tem momentos que o analfabetismo de corinthians não conhece limites, que lixo",2026-06-18 18:44:45,True
São Paulo,Convidar.Net,@ConvidarNet,41 s,Locação de Cobertura de Piscina Para Festa em Cajamar SP | Nº 1 em Aluguel de Coberturas Para Piscina em São Paulo e Região - Locação de Coberturas Para Eventos | Campus Coberturas,2026-06-18 18:44:45,False
Vasco,llen Jardim ᶜʳᵛᵍ ✠,@AllenF_Crvg,45 s,Com essa copa esqueci totalmente do Vasco! Não sei de nada sobre especulações de jogadores etc.,2026-06-18 18:44:45,True
Santos,Jean Pierre,@JeanPierre_1372,47 s,Ele é um santo no Brasil os políticos em sua maioria são santos kkkk pta q pariu ,2026-06-18 18:44:45,False
Vasco,Iamée ᶜʳᵛᵍ,@Iameelf,48 s,"Eu não aguento mais esse elenco do Vasco, na moralllllll, que nojo",2026-06-18 18:44:45,True
Vasco,Moreira ✠,@moreira_crvg,49 s,Outro ponto positivo nessa Copa do Mundo é que esquecemos um pouco a merda que é o Vasco.,2026-06-18 18:44:45,True
Vasco,Vinicius,@1nomadrid,50 s,Você torce pro Vasco.,2026-06-18 18:44:45,True
São Paulo,Audiência Da TV,@ATV_Oficial,50 s,"17h45 em São Paulo 

Globo #CopaNaGlobo 15.0
Record #CidadeAlerta 7.5
SBT #CopaNoSBT 2.9
Band #BrasilUrgente 0.6

Via 
@comentandotvbr",2026-06-18 18:44:45,True
Vasco,Vascaína sincera,@gabivasco1898,51 s,"Na reportagem diz que parte do elenco está questionando o treinador. Tô cansada desse elenco vagabundo escolher quando joga só pra derrubar treinador. Enquanto isso, o prejudicado é o Vasco.",2026-06-18 18:44:45,True
Santos,Luciana Dantas,@lucianadanntas,52 s,"3 latas de água da cop (guardei de recordação), 2 bonecos funko do Silvio Santos (ganhei em eventos do sbt), 1 garrafa com 2 dedos de Aperol, 1 tulipa gigante de decoração.",2026-06-18 18:44:45,False
Santos,@ElaineAguera,@elaine05100522,53 s,Quem é  Renan Santos???? Misericórdia ,2026-06-18 18:44:45,False
Internacional,Menino Horácio,@NetoHoracio,1 min,"Ceará conquistou o acesso antecipado à primeira divisão do Campeonato Brasileiro sub-20.

O Vovôzinho venceu por 3 a 1 o Internacional, de virada, com gols de Enzo, Esli e Ronald.

Trazendo as entrevistas de Israel Paz (diretor da base) e dos autores dos gols: Enzo Ludovico,",2026-06-18 18:44:49,True
Corinthians,vee VAI VER O ZAYN,@cigrtaftsx,1 min,SPORT CLUB CORINTHIANS PAULISTA,2026-06-18 18:44:49,True
São Paulo,Audiência Da TV,@ATV_Oficial,1 min,"17h37 em São Paulo 

Globo #CopaNaGlobo 14.0
Record #CidadeAlerta 7.3
SBT #CopaNoSBT 2.7
Band #BrasilUrgente 0.7

Via 
@comentandotvbr",2026-06-18 18:44:49,True
